file,status,before_kb,after_kb,reduction_pct,width,height,error,output_path
1031_1.png,OK,147.1,25.6,82.6,512,512,,D:\female\11\1031_1.webp
1032.png,OK,65.2,14.1,78.4,512,512,,D:\female\11\1032.webp
1033.png,OK,217.2,29.0,86.6,512,512,,D:\female\11\1033.webp
1033_1.png,OK,220.8,26.7,87.9,512,512,,D:\female\11\1033_1.webp
1033_10.png,OK,115.7,14.1,87.8,512,512,,D:\female\11\1033_10.webp
1033_11.png,OK,118.2,14.1,88.1,512,512,,D:\female\11\1033_11.webp
1033_12.png,OK,195.1,28.8,85.2,512,512,,D:\female\11\1033_12.webp
1033_13.png,OK,194.3,28.5,85.3,512,512,,D:\female\11\1033_13.webp
1033_14.png,OK,161.4,17.2,89.4,512,512,,D:\female\11\1033_14.webp
1033_15.png,OK,171.6,19.6,88.6,512,512,,D:\female\11\1033_15.webp
1033_2.png,OK,216.1,25.2,88.3,512,512,,D:\female\11\1033_2.webp
1033_3.png,OK,128.3,16.1,87.5,512,512,,D:\female\11\1033_3.webp
1033_4.png,OK,149.7,17.8,88.1,512,512,,D:\female\11\1033_4.webp
1033_5.png,OK,153.3,20.4,86.7,512,512,,D:\female\11\1033_5.webp
1033_6.png,OK,230.1,46.7,79.7,512,512,,D:\female\11\1033_6.webp
1033_7.png,OK,230.6,47.0,79.6,512,512,,D:\female\11\1033_7.webp
1033_8.png,OK,191.3,27.7,85.5,512,512,,D:\female\11\1033_8.webp
1033_9.png,OK,221.3,29.5,86.7,512,512,,D:\female\11\1033_9.webp
1034.png,OK,171.8,21.7,87.4,512,512,,D:\female\11\1034.webp
1034_1.png,OK,154.3,16.3,89.4,512,512,,D:\female\11\1034_1.webp
1034_2.png,OK,212.7,36.2,83.0,512,512,,D:\female\11\1034_2.webp
1035.png,OK,139.2,30.2,78.3,512,512,,D:\female\11\1035.webp
1035_1.png,OK,139.7,18.7,86.6,512,512,,D:\female\11\1035_1.webp
1036.png,OK,78.9,13.0,83.5,512,512,,D:\female\11\1036.webp
1036_1.png,OK,81.8,17.0,79.2,512,512,,D:\female\11\1036_1.webp
1037.png,OK,146.3,32.6,77.7,512,512,,D:\female\11\1037.webp
1037_1.png,OK,145.1,39.1,73.1,512,512,,D:\female\11\1037_1.webp
1038.png,OK,135.1,22.9,83.1,512,512,,D:\female\11\1038.webp
1038_1.png,OK,136.7,26.3,80.8,512,512,,D:\female\11\1038_1.webp
1039.png,OK,273.0,30.7,88.7,512,512,,D:\female\11\1039.webp
1039_1.png,OK,267.9,29.4,89.0,512,512,,D:\female\11\1039_1.webp
1039_10.png,OK,264.2,30.0,88.6,512,512,,D:\female\11\1039_10.webp
1039_11.png,OK,196.9,21.4,89.1,512,512,,D:\female\11\1039_11.webp
1039_12.png,OK,200.2,22.4,88.8,512,512,,D:\female\11\1039_12.webp
1039_13.png,OK,199.5,23.2,88.4,512,512,,D:\female\11\1039_13.webp
1039_14.png,OK,199.3,23.0,88.4,512,512,,D:\female\11\1039_14.webp
1039_15.png,OK,273.8,30.8,88.8,512,512,,D:\female\11\1039_15.webp
1039_16.png,OK,269.2,28.2,89.5,512,512,,D:\female\11\1039_16.webp
1039_2.png,OK,262.3,27.3,89.6,512,512,,D:\female\11\1039_2.webp
1039_3.png,OK,269.8,29.9,88.9,512,512,,D:\female\11\1039_3.webp
1039_4.png,OK,212.6,25.5,88.0,512,512,,D:\female\11\1039_4.webp
1039_5.png,OK,211.6,23.2,89.0,512,512,,D:\female\11\1039_5.webp
1039_6.png,OK,268.3,29.6,89.0,512,512,,D:\female\11\1039_6.webp
1039_7.png,OK,267.4,30.4,88.6,512,512,,D:\female\11\1039_7.webp
1039_8.png,OK,265.0,27.9,89.5,512,512,,D:\female\11\1039_8.webp
1039_9.png,OK,262.5,29.2,88.9,512,512,,D:\female\11\1039_9.webp
103_1.png,OK,174.7,42.1,75.9,512,512,,D:\female\11\103_1.webp
103_1.png,OK,38.2,9.3,75.7,512,512,,D:\female\9\103_1.webp
103_2.png,OK,158.4,18.3,88.4,512,512,,D:\female\11\103_2.webp
103_3.png,OK,133.9,17.0,87.3,512,512,,D:\female\11\103_3.webp
103_4.png,OK,164.8,20.1,87.8,512,512,,D:\female\11\103_4.webp
103_5.png,OK,177.2,21.4,87.9,512,512,,D:\female\11\103_5.webp
104.png,OK,240.2,28.1,88.3,512,512,,D:\female\11\104.webp
104.png,OK,12.7,6.3,50.4,512,512,,D:\female\9\104.webp
1040.png,OK,233.8,30.2,87.1,512,512,,D:\female\11\1040.webp
1040_1.png,OK,252.1,53.6,78.7,512,512,,D:\female\11\1040_1.webp
1041.png,OK,209.8,25.6,87.8,512,512,,D:\female\11\1041.webp
1041_1.png,OK,203.6,41.9,79.4,512,512,,D:\female\11\1041_1.webp
1041_2.png,OK,197.4,25.5,87.1,512,512,,D:\female\11\1041_2.webp
1041_3.png,OK,214.9,22.8,89.4,512,512,,D:\female\11\1041_3.webp
1042.png,OK,115.9,21.9,81.1,512,512,,D:\female\11\1042.webp
1042_1.png,OK,121.0,31.2,74.2,512,512,,D:\female\11\1042_1.webp
1043.png,OK,112.2,30.1,73.2,512,512,,D:\female\11\1043.webp
1043_1.png,OK,117.5,22.4,80.9,512,512,,D:\female\11\1043_1.webp
1043_2.png,OK,98.2,18.0,81.7,512,512,,D:\female\11\1043_2.webp
1044.png,OK,200.0,23.0,88.5,512,512,,D:\female\11\1044.webp
1044_1.png,OK,211.8,23.6,88.9,512,512,,D:\female\11\1044_1.webp
1045.png,OK,69.8,12.0,82.8,512,512,,D:\female\11\1045.webp
1045_1.png,OK,85.2,13.6,84.1,512,512,,D:\female\11\1045_1.webp
1046.png,OK,223.7,22.7,89.8,512,512,,D:\female\11\1046.webp
1046_1.png,OK,170.0,20.1,88.2,512,512,,D:\female\11\1046_1.webp
1047.png,OK,131.2,18.7,85.7,512,512,,D:\female\11\1047.webp
1047_1.png,OK,156.5,20.9,86.6,512,512,,D:\female\11\1047_1.webp
1048.png,OK,218.8,34.2,84.4,512,512,,D:\female\11\1048.webp
1048_1.png,OK,230.0,53.2,76.9,512,512,,D:\female\11\1048_1.webp
1048_2.png,OK,186.4,25.9,86.1,512,512,,D:\female\11\1048_2.webp
1049.png,OK,62.3,12.5,80.0,512,512,,D:\female\11\1049.webp
104_1.png,OK,12.1,5.9,51.1,512,512,,D:\female\9\104_1.webp
104_2.png,OK,12.1,5.8,52.2,512,512,,D:\female\9\104_2.webp
105.png,OK,133.1,15.3,88.5,512,512,,D:\female\11\105.webp
105.png,OK,4.4,2.0,54.4,512,512,,D:\female\9\105.webp
1050.png,OK,46.9,11.4,75.6,512,512,,D:\female\11\1050.webp
1050_1.png,OK,52.6,13.1,75.0,512,512,,D:\female\11\1050_1.webp
1051.png,OK,184.9,39.3,78.8,512,512,,D:\female\11\1051.webp
1051_1.png,OK,150.1,37.7,74.9,512,512,,D:\female\11\1051_1.webp
1051_2.png,OK,173.1,35.3,79.6,512,512,,D:\female\11\1051_2.webp
1052.png,OK,124.9,23.7,81.0,512,512,,D:\female\11\1052.webp
1052_1.png,OK,158.3,30.9,80.5,512,512,,D:\female\11\1052_1.webp
1053.png,OK,275.9,90.5,67.2,512,512,,D:\female\11\1053.webp
1054.png,OK,191.2,27.4,85.7,512,512,,D:\female\11\1054.webp
1054_1.png,OK,184.2,26.5,85.6,512,512,,D:\female\11\1054_1.webp
1054_2.png,OK,186.9,34.6,81.5,512,512,,D:\female\11\1054_2.webp
1055.png,OK,228.6,30.0,86.9,512,512,,D:\female\11\1055.webp
1055_1.png,OK,245.3,36.3,85.2,512,512,,D:\female\11\1055_1.webp
1055_2.png,OK,231.8,38.4,83.4,512,512,,D:\female\11\1055_2.webp
1056.png,OK,58.7,13.5,77.0,512,512,,D:\female\11\1056.webp
1056_1.png,OK,55.6,11.8,78.7,512,512,,D:\female\11\1056_1.webp
1057.png,OK,115.7,27.4,76.3,512,512,,D:\female\11\1057.webp
1058.png,OK,135.1,31.1,77.0,512,512,,D:\female\11\1058.webp
1059.png,OK,178.1,21.7,87.8,512,512,,D:\female\11\1059.webp
1059_1.png,OK,176.8,24.0,86.4,512,512,,D:\female\11\1059_1.webp
1059_2.png,OK,192.2,28.5,85.2,512,512,,D:\female\11\1059_2.webp
1059_3.png,OK,172.3,31.8,81.5,512,512,,D:\female\11\1059_3.webp
105_1.png,OK,133.5,14.8,88.9,512,512,,D:\female\11\105_1.webp
105_1.png,OK,4.2,1.8,56.2,512,512,,D:\female\9\105_1.webp
105_2.png,OK,134.9,15.8,88.3,512,512,,D:\female\11\105_2.webp
105_3.png,OK,200.2,53.6,73.2,512,512,,D:\female\11\105_3.webp
105_4.png,OK,198.2,48.4,75.6,512,512,,D:\female\11\105_4.webp
105_5.png,OK,187.1,44.3,76.3,512,512,,D:\female\11\105_5.webp
105_6.png,OK,175.9,29.2,83.4,512,512,,D:\female\11\105_6.webp
105_7.png,OK,191.5,40.1,79.1,512,512,,D:\female\11\105_7.webp
106.png,OK,236.2,49.9,78.9,512,512,,D:\female\11\106.webp
106.png,OK,3.1,1.4,55.3,512,512,,D:\female\9\106.webp
1060.png,OK,218.7,28.1,87.2,512,512,,D:\female\11\1060.webp
1060_1.png,OK,215.4,24.9,88.5,512,512,,D:\female\11\1060_1.webp
1061.png,OK,221.7,28.5,87.2,512,512,,D:\female\11\1061.webp
1062.png,OK,149.2,21.2,85.8,512,512,,D:\female\11\1062.webp
1062_1.png,OK,186.9,30.2,83.9,512,512,,D:\female\11\1062_1.webp
1063.png,OK,43.2,7.0,83.9,512,512,,D:\female\11\1063.webp
1063_1.png,OK,42.4,6.8,84.1,512,512,,D:\female\11\1063_1.webp
1064.png,OK,153.2,22.1,85.6,512,512,,D:\female\11\1064.webp
1064_1.png,OK,134.6,16.9,87.4,512,512,,D:\female\11\1064_1.webp
1065.png,OK,134.8,17.0,87.4,512,512,,D:\female\11\1065.webp
1066.png,OK,62.9,9.3,85.3,512,512,,D:\female\11\1066.webp
